Subject,Start Date,End Date,All Day Event,Description,Private,NON-IMPORT ROWS ->,Updated,ID
Call-Char,2016-11-19,2016-11-20,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161119
Call-Kati,2016-11-20,2016-11-21,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161120
Call-Kati,2016-11-23,2016-11-24,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161121
Call-Char,2016-11-21,2016-11-22,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161122
Call-Virginia,2016-11-22,2016-11-23,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161123
Call- Anna,2016-11-24,2016-11-25,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161124
Call-Anna ,2016-11-25,2016-11-26,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161125
Call- Anna,2016-11-26,2016-11-27,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161126
Call- Anna,2016-11-27,2016-11-28,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161127
Call- Laurie,2016-11-28,2016-12-05,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161128
Call-,2016-11-29,2016-11-30,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161129
Call-,2016-11-30,2016-12-01,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161130
Call-,2016-12-01,2016-12-02,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161201
Call-,2016-12-02,2016-12-03,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161202
Call-,2016-12-03,2016-12-04,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161203
Call-,2016-12-04,2016-12-05,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161204
Call-Anna/Virgina,2016-12-05,2016-12-06,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161205
Call-Char,2016-12-06,2016-12-07,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161206
Call-Anna/Kati,2016-12-07,2016-12-08,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161207
Call-Hong,2016-12-08,2016-12-09,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161208
Call-Char,2016-12-09,2016-12-10,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161209
Call-Char,2016-12-10,2016-12-11,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161210
Call-Virginia,2016-12-11,2016-12-12,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161211
Call- Laurie,2016-12-12,2016-12-19,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161212
Call-,2016-12-13,2016-12-14,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161213
Call-,2016-12-14,2016-12-15,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161214
Call-,2016-12-15,2016-12-16,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161215
Call-,2016-12-16,2016-12-17,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161216
Call-,2016-12-17,2016-12-18,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161217
Call-,2016-12-18,2016-12-19,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161218
Call-Char,2016-12-30,2016-12-31,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161219
Call-Char,2016-12-20,2016-12-21,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161220
Call-Char,2016-12-21,2016-12-22,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161221
Call-Hong,2016-12-23,2016-12-24,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161222
Call-Virginia,2016-12-22,2016-12-23,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161223
Call-Hong,2016-12-24,2016-12-25,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161224
Call-Hong,2016-12-25,2016-12-26,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161225
Call-Virginia,2016-12-26,2016-12-27,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161226
Call-Virginia,2016-12-27,2016-12-28,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161227
Call-Char,2016-12-29,2016-12-30,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161228
Call-Hong,2016-12-28,2016-12-29,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161229
Call-Kati,2016-12-19,2016-12-20,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161230
Call- Kati,2016-12-31,2017-01-01,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20161231
Call- Char,2017-01-02,2017-01-03,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170101
Call-Kati,2017-01-01,2017-01-02,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170102
Call- Char,2017-01-07,2017-01-08,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170107
Call- Char,2017-01-08,2017-01-09,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170108
Call-Virginia,2017-01-14,2017-01-15,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170114
Call- Virginia,2017-01-15,2017-01-16,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170115
Call- Hong,2017-01-21,2017-01-22,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170121
Call- Hong,2017-01-22,2017-01-23,True,Re-imported 10/28/16 - status: cancelled,False,,2016-10-28T16:07:51.589Z,l6klcbhk3uokuejshm54olalis_20170122
Call-,2017-03-02,2017-03-03,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-28T16:08:14.484Z,906t00rpimit288adc81a84uts
Call-Anna,2016-10-28,2016-10-29,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-28T17:36:03.078Z,2q18tvpuakdj9vs7krj21f2328
Call-Anna,2016-10-30,2016-10-31,True,Re-imported 10/28/16 - status: confirmed,False,,2016-10-28T17:36:16.778Z,isg6e9sr3tqtjc8q6bqv95ga44
